,BLUE_score,TER_score,ROUGE1_score,ROUGE2_score,ROUGEL_score,SACREBLUE_score
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,0.3243883787155241,56.77849062379056,0.740324156224647,0.5574699521138646,0.6192237057738055,34.26399049867323
std,0.22466705313444998,16.678178723704335,0.12956586637209053,0.1890605568547558,0.1780002661136488,20.19272734920178
min,0.0,8.0,0.0106382978723404,0.0,0.0106382978723404,0.1260449907692713
25%,0.16974704012581865,46.66666666666666,0.6666666666666665,0.4285714285714285,0.4848484848484848,18.330085305570552
50%,0.3148567621102169,57.14285714285714,0.744186046511628,0.5625,0.619047619047619,31.489678990924517
75%,0.4656912239237442,66.66666666666666,0.8333333333333333,0.6896551724137931,0.7567567567567567,46.56912239237442
max,1.0,300.0,1.0,1.0,1.0,100.00000000000004
