,BLUE_score,TER_score,ROUGE1_score,ROUGE2_score,ROUGEL_score,SACREBLUE_score
count,4647.0,4647.0,4647.0,4647.0,4647.0,4647.0
mean,0.33354510255642106,20.18739982070817,0.9508683371435246,0.8507465090471669,0.905790982534458,35.48484803150491
std,0.2699056622583937,11.396321117370315,0.06090801085382651,0.146848137175957,0.10757641984636655,24.647319402941825
min,0.0,0.0,0.5333333333333333,0.2068965517241379,0.375,2.040772158804365
25%,0.1523276934580388,12.5,0.9230769230769232,0.7647058823529412,0.8571428571428571,16.375416215486897
50%,0.301164459337964,19.230769230769237,0.9696969696969696,0.875,0.9375,30.116445933796403
75%,0.4763398624793484,26.666666666666668,1.0,1.0,1.0,47.633986247934864
max,1.0,68.0,1.0,1.0,1.0,100.00000000000004
