,BLUE_score,TER_score,ROUGE1_score,ROUGE2_score,ROUGEL_score,SACREBLUE_score
count,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mean,0.6735596819499997,31.710880704556953,0.9248540803482705,0.8032283369737888,0.876284303590409,67.6100405797671
std,0.2110185803554376,13.800402538595346,0.07513000943463578,0.15586587002836919,0.11717124168156173,20.391352195543668
min,0.0,0.0,0.4090909090909091,0.0869565217391304,0.2580645161290323,6.332853022133167
25%,0.5447568376822844,21.428571428571427,0.8878205128205128,0.711111111111111,0.8181818181818182,54.475683768228436
50%,0.6888365053466561,30.434782608695656,0.9411764705882352,0.8205128205128205,0.9032258064516128,68.8836505346656
75%,0.8196501312471536,40.0,1.0,0.92,0.967741935483871,81.96501312471537
max,1.0,143.75,1.0,1.0,1.0,100.00000000000004
